Comparison,Diff_Eta,SE_Approx,Z_Approx,P_OneSided,Significant_OneSided_0.05,Task,Model
Humans > larger-scale,1.011344580285894,0.06980729780946288,14.487662637312384,0.0,True,SINGLE,GLMM-Binomial
larger-scale > semi-larger-scale,0.5034467776360922,0.09988213946722442,5.040408428588923,2.322696829315518e-07,True,SINGLE,GLMM-Binomial
semi-larger-scale > smaller-scale,1.3147197390785583,0.08575494741853325,15.331124076864898,0.0,True,SINGLE,GLMM-Binomial
Humans > larger-scale,0.056161446681576015,0.005466969303766283,10.272866658110827,0.0,True,BATCH,LMM
larger-scale > semi-larger-scale,0.059768829231915184,0.006992423825233637,8.547655394718317,0.0,True,BATCH,LMM
semi-larger-scale > smaller-scale,0.2483407904548836,0.004924640120904076,50.42821086575006,0.0,True,BATCH,LMM
Humans > larger-scale,0.2008157854938592,0.07596677700782248,2.643468545113882,0.004103069497765954,True,SIM-GRA,GLMM-Binomial
larger-scale > semi-larger-scale,0.7267405522785062,0.10722669102540126,6.7776086842626375,6.109113215302386e-12,True,SIM-GRA,GLMM-Binomial
semi-larger-scale > smaller-scale,0.7058311314816886,0.0955708983161466,7.385419033593402,7.593925488436071e-14,True,SIM-GRA,GLMM-Binomial
Humans > larger-scale,0.39246033320756357,0.06588893834767291,5.95639181704048,1.289338413812402e-09,True,CAT-GRA,GLMM-Binomial
larger-scale > semi-larger-scale,0.8347332338525273,0.09126231939009342,9.146526621622746,0.0,True,CAT-GRA,GLMM-Binomial
semi-larger-scale > smaller-scale,1.7316701700515387,0.07626602789083146,22.70565568892983,0.0,True,CAT-GRA,GLMM-Binomial
Humans > larger-scale,0.0672643442622996,0.009427626891567228,7.1348118711046835,4.846123502488808e-13,True,CON-INS,LMM
larger-scale > semi-larger-scale,0.11408811475409994,0.01097117418873424,10.398897400722287,0.0,True,CON-INS,LMM
semi-larger-scale > smaller-scale,0.17643442622950742,0.009242430464209889,19.089613593818942,0.0,True,CON-INS,LMM
