id,question
1,"请判断：在句子“

笔记本在书架上。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
2,"请判断：在句子“

钥匙在抽屉里。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
3,"请判断：在句子“

教室里很安静。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
4,"请判断：在句子“

钱包不在口袋里。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
5,"请判断：在句子“

她不在家里，她在公司里。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6,"请判断：在句子“

窗户外有一片花园。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
7,"请判断：在句子“

公园东边有一个超市。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
8,"请判断：在句子“

耳机在包里。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
9,"请判断：在句子“

我在车站前等你。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
10,"请判断：在句子“

钥匙在抽屉里边。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
11,"请判断：在句子“

他去西边的公园。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
12,"请判断：在句子“

学校北边有一个图书馆。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
13,"请判断：在句子“

桌子下边有一只猫。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
14,"请判断：在句子“

他的身份证在口袋里边。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
15,"请判断：在句子“

她在餐厅外边打电话。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
16,"请判断：在句子“

我去后边的电影院。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
17,"请判断：在句子“

超市在学校的左边。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
18,"请判断：在句子“

医院在银行的前边。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
19,"请判断：在句子“

我不会弹钢琴。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
20,"请判断：在句子“

我妹妹会画画。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
21,"请判断：在句子“

他会参加下周的会议吗?

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
22,"请判断：在句子“

你会游泳吗?

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
23,"请判断：在句子“

她会跳舞,不会唱歌。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
24,"请判断：在句子“

这孩子会说话了。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
25,"请判断：在句子“

爷爷不会用电脑。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
26,"请判断：在句子“

你会不会做饭?

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
27,"请判断：在句子“

明天她不会来学校。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
