id,question
6652,"请判断：在句子“

钥匙在抽屉里边。

”中，是否包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6653,"请判断：在句子“

笔记本在书架上。

”中，是否包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6654,"请判断：在句子“

明天你能参加会议吗？

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6655,"请判断：在句子“

我想学钢琴。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6656,"请判断：在句子“

他要去图书馆。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6657,"请判断：在句子“

他可能去图书馆了。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6658,"请判断：在句子“

周末有空，我们可以去爬山。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6659,"请判断：在句子“

你该休息了。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6660,"请判断：在句子“

他很愿意教我们汉语。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6661,"请判断：在句子“

这儿有三米深,你敢跳下去吗？

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6662,"请判断：在句子“

他感冒了，需要多喝水。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6663,"请判断：在句子“

天快黑了，我得回家了。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6664,"请判断：在句子“

您的汽车需定期保养以确保性能。

”中，是否包含语法点[能愿动词：会]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6665,"请判断：在句子“

我不会弹钢琴。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6666,"请判断：在句子“

我想学钢琴。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6667,"请判断：在句子“

他要去图书馆。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6668,"请判断：在句子“

他可能去图书馆了。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6669,"请判断：在句子“

周末有空，我们可以去爬山。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6670,"请判断：在句子“

你该休息了。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6671,"请判断：在句子“

他很愿意教我们汉语。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6672,"请判断：在句子“

这儿有三米深,你敢跳下去吗？

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6673,"请判断：在句子“

他感冒了，需要多喝水。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6674,"请判断：在句子“

天快黑了，我得回家了。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6675,"请判断：在句子“

您的汽车需定期保养以确保性能。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6676,"请判断：在句子“

我不会弹钢琴。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6677,"请判断：在句子“

明天你能参加会议吗？

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6678,"请判断：在句子“

他要去图书馆。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6679,"请判断：在句子“

他可能去图书馆了。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6680,"请判断：在句子“

周末有空，我们可以去爬山。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6681,"请判断：在句子“

你该休息了。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6682,"请判断：在句子“

他很愿意教我们汉语。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6683,"请判断：在句子“

这儿有三米深,你敢跳下去吗？

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6684,"请判断：在句子“

他感冒了，需要多喝水。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6685,"请判断：在句子“

天快黑了，我得回家了。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6686,"请判断：在句子“

您的汽车需定期保养以确保性能。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6687,"请判断：在句子“

我不会弹钢琴。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6688,"请判断：在句子“

明天你能参加会议吗？

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6689,"请判断：在句子“

我想学钢琴。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6690,"请判断：在句子“

他可能去图书馆了。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6691,"请判断：在句子“

周末有空，我们可以去爬山。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6692,"请判断：在句子“

你该休息了。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6693,"请判断：在句子“

他很愿意教我们汉语。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6694,"请判断：在句子“

这儿有三米深,你敢跳下去吗？

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6695,"请判断：在句子“

他感冒了，需要多喝水。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6696,"请判断：在句子“

天快黑了，我得回家了。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6697,"请判断：在句子“

您的汽车需定期保养以确保性能。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6698,"请判断：在句子“

你们公司有多少个员工？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6699,"请判断：在句子“

现在几度？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6700,"请判断：在句子“

你的婚礼是哪天?

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6701,"请判断：在句子“

你们去哪儿吃饭?

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6702,"请判断：在句子“

你们公司有哪些部门的员工?

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6703,"请判断：在句子“

你吃什么?

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6704,"请判断：在句子“

谁在教室里画画？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6705,"请判断：在句子“

你怎么去图书馆?

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6706,"请判断：在句子“

昨天的报告，你准备了多久？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6707,"请判断：在句子“

你为什么不去开会?

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6708,"请判断：在句子“

妈妈的心情怎么样？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6709,"请判断：在句子“

这道题怎样解答？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6710,"请判断：在句子“

我们何时才能到达目的地？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6711,"请判断：在句子“

他多高？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
6712,"请判断：在句子“

现在几度？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
