id,question
18620,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]，回答T。如果不包含，回答F。
1. 笔记本在书架上。  
2. 钥匙在抽屉里。  
3. 教室里很安静。  
4. 钱包不在口袋里。  
5. 她不在家里，她在公司里。  
6. 窗户外有一片花园。  
7. 公园东边有一个超市。  
8. 耳机在包里。  
9. 我在车站前等你。

请使用T或F回答，不需要解释"
18621,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[方位名词：上边、下边、里边、外边、前边、后边、左边、右边、东边、南边、西边、北边]，回答T。如果不包含，回答F。
1.钥匙在抽屉里边。  
2.他去西边的公园。  
3.学校北边有一个图书馆。  
4.桌子下边有一只猫。  
5.他的身份证在口袋里边。  
6.她在餐厅外边打电话。  
7.我去后边的电影院。  
8.超市在学校的左边。  
9.医院在银行的前边。

请使用T或F回答，不需要解释"
18622,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[能愿动词：会]，回答T。如果不包含，回答F。
1. 我不会弹钢琴。
2. 我妹妹会画画。
3. 他会参加下周的会议吗?
4. 你会游泳吗?
5. 她会跳舞,不会唱歌。
6. 这孩子会说话了。
7. 爷爷不会用电脑。
8. 你会不会做饭?
9. 明天她不会来学校。

请使用T或F回答，不需要解释"
18623,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[能愿动词：能]，回答T。如果不包含，回答F。
1. 明天你能参加会议吗？
2. 他的腿伤好了，现在能走路了。
3. 这个会议室能容纳50个人。
4. 小李感冒好了，能来上班了。
5. 任务还没完成，我不能休息。
6. 周末你能不能来公司加班？
7. 考试期间不能使用手机。
8. 我不会做饭，你能教我吗？
9. 医生，我能不能吃这种食物？

请使用T或F回答，不需要解释"
18624,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[能愿动词：想]，回答T。如果不包含，回答F。
1. 我想学钢琴。  
2. 我不想早起。  
3. 你想去公园吗?  
4. 我想去旅行。  
5. 我想在餐厅吃午饭。  
6. 她不想喝咖啡。  
7. 他不想去日本。  
8. 你周末想去爬山吗?  
9. 你想不想吃面条?

请使用T或F回答，不需要解释"
18625,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[能愿动词：要]，回答T。如果不包含，回答F。
1.他要去图书馆。  
2.他要学跳舞。  
3.您要买电脑吗?  
4.我们要努力工作。  
5.她要去北京。  
6.我要去逛街。  
7.他要学英语。  
8.先生，您要喝咖啡吗?  
9.你要不要吃点儿东西?

请使用T或F回答，不需要解释"
18626,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[疑问代词：多]，回答T。如果不包含，回答F。
1.他多高？  
2.新开的公园有多大？  
3.你的箱子有多重？  
4.这条河有多宽？  
5.你多高？  
6.那个学生多大了？  
7.你的弟弟多大了？  
8.这个桌子有多长？  
9.学校有多远？

请使用T或F回答，不需要解释"
18627,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[疑问代词：多少]，回答T。如果不包含，回答F。
1.你们公司有多少个员工？  
2.这件衣服多少钱？  
3.你跑了多少公里？  
4.图书馆有多少本书？  
5.你买了多少件衣服？  
6.这篇文章有多少字？  
7.你看了多少部电影？  
8.你要多少(个)？  
9.这些蔬菜多少钱？

请使用T或F回答，不需要解释"
18628,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[疑问代词：几]，回答T。如果不包含，回答F。
1. 现在几度？
2. 你有几件衣服？
3. 你们几辆车去？
4. 你家有几只猫？
5. 你买了几本书？
6. 你看了几集电视剧？
7. 你学了几门课程？
8. 外边有几只鸟？
9. 你住几单元？

请使用T或F回答，不需要解释"
18629,"请对1.号到9.号每个句子依次进行判断：如果包含语法点[疑问代词：哪]，回答T。如果不包含，回答F。
1.你的婚礼是哪天?  
2.请问,您是哪家公司的人?  
3.你在哪个城市学英语?  
4.哪一首歌好听?  
5.这个假期哪个朋友去上海?  
6.你常常在哪个餐厅吃饭?  
7.你的鞋子是哪一双?  
8.您要见哪个客户?  
9.你喜欢哪个电视剧?

请使用T或F回答，不需要解释"
