id,question
43575,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]，回答T。如果不包含，回答F。

1. 教室里很安静。
2. 耳机在包里。
3. 前辈的经验对我们很有帮助。
4. 她手右受伤了，暂时不能写字。
5. 窗户外有一片花园。
6. 钱包不在口袋里。
7. 她决定下厨，为家人做一顿丰盛的晚餐。
8. 钥匙在抽屉里。
9. 他正在上课，不能接电话。
10. 后果自负，这是你的选择。

请使用T或F回答，不需要解释"
43576,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：会]，回答T。如果不包含，回答F。

1. 你会不会做饭?
2. 她加入了一个读书会，每周讨论一本书。
3. 我们计划在下个月举办一场慈善晚会。
4. 明天她不会来学校。
5. 你会游泳吗?
6. 她会跳舞,不会唱歌。
7. 我妹妹会画画。
8. 他参加了公司的年会，认识了很多新朋友。
9. 居委会组织了清洁活动。
10. 他在会议上提出了一个创新的想法。

请使用T或F回答，不需要解释"
43577,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：能]，回答T。如果不包含，回答F。

1. 他的体能测试成绩达到了优秀水平。
2. 这种新型材料具有很高的耐磨性。
3. 小李感冒好了，能来上班了。
4. 周末你能不能来公司加班？
5. 她的音乐才能从小就展现出来了。
6. 明天你能参加会议吗？
7. 他的演讲能力让在场的所有人都印象深刻。
8. 他的能力在公司里得到了充分的发挥。
9. 任务还没完成，我不能休息。
10. 我不会做饭，你能教我吗？

请使用T或F回答，不需要解释"
43578,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：想]，回答T。如果不包含，回答F。

1. 这个想象中的故事充满了奇幻色彩。
2. 你想不想吃面条?
3. 她不想喝咖啡。
4. 她的想法得到了大家的认可。
5. 这个想象中的世界令人着迷。
6. 我们需要更多的想象力来解决这个问题。
7. 你想去公园吗?
8. 他不想去日本。
9. 我不想早起。
10. 他提出了一个大胆的想法。

请使用T或F回答，不需要解释"
43579,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：要]，回答T。如果不包含，回答F。

1. 您要买电脑吗?
2. 这个项目的要素包括时间和成本。
3. 她的要求得到了领导的批准。
4. 先生，您要喝咖啡吗?
5. 这个计划的要害在于执行力度。
6. 你要不要吃点儿东西?
7. 我要去逛街。
8. 这本书的要点我已经记下来了。
9. 他要学跳舞。
10. 他的要职是负责整个部门的管理。

请使用T或F回答，不需要解释"
43580,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[疑问代词：多]，回答T。如果不包含，回答F。

1. 这个桌子有多长？
2. 这个城市的夜景多么美丽啊！
3. 多运动有助于保持身体健康。
4. 多亏了你的帮助，我才能顺利完成这个项目。
5. 他多次尝试，终于找到了解决问题的方法。
6. 你多高？
7. 多读书可以开阔视野，增长知识。
8. 学校有多远？
9. 新开的公园有多大？
10. 你的弟弟多大了？

请使用T或F回答，不需要解释"
43581,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[疑问代词：几]，回答T。如果不包含，回答F。

1. 你家有几只猫？
2. 她几番尝试，终于学会了这项新技能。
3. 你学了几门课程？
4. 这个方案几经讨论，最终确定了下来。
5. 这本书几近完美，几乎没有什么可以挑剔的地方。
6. 现在几度？
7. 他几经周折，终于找到了那份丢失的文件。
8. 你看了几集电视剧？
9. 他几度犹豫，最终还是决定接受这份工作。
10. 你们几辆车去？

请使用T或F回答，不需要解释"
43582,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：太]，回答T。如果不包含，回答F。

1. 超市太近了。
2. 她喜欢在太湖边上散步，感受自然的宁静。
3. 她正在学习太空科学的相关知识。
4. 大家太兴奋了!
5. 他正在研究太空探索的最新进展。
6. 李经理太累了。
7. 她太快,我们追不上。
8. 太阳从东方升起，照亮了整个大地。
9. 他是一位研究太阳能的专家。
10. 这里太热了。

请使用T或F回答，不需要解释"
43583,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：真]，回答T。如果不包含，回答F。

1. 今天真冷!
2. 他的真性情让人感到亲切。
3. 这儿真安静!
4. 这本书的真伪还需要进一步鉴定。
5. 她的真诚赢得了大家的信任。
6. 这幅画的真迹被收藏在博物馆里。
7. 我真喜欢看电影!
8. 他一直在寻找真理。
9. 我真喜欢这本书。
10. 这风景真迷人!

请使用T或F回答，不需要解释"
43584,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：最]，回答T。如果不包含，回答F。

1. 她站在队伍的第一排。
2. 最近的天气变化很大。
3. 我妹妹最不爱吃辣。
4. 这款手机以其先进的技术和出色的用户体验，成为了电子消费市场的王者。
5. 她最想去的是日本吗?
6. 杯子放最下边。
7. 这是顶级的科技产品。
8. 火车最慢。
9. 该品牌汽车凭借卓越的性能和创新的设计，成为了汽车市场的先锋。
10. 这个箱子最重。

请使用T或F回答，不需要解释"
43585,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[范围、协同副词：都]，回答T。如果不包含，回答F。

1. 他是一位都市小说家。
2. 星期二和星期四都有英语课。
3. 这本书的都市背景很吸引人。
4. 他正在研究都市文化。
5. 这个都市的经济发展很快。
6. 这些座位都没有人。
7. 她喜欢都市生活的便利。
8. 他们都很喜欢游泳。
9. 你都看了哪些电影？
10. 他们都不是老师。

请使用T或F回答，不需要解释"
43586,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[时间副词：马上]，回答T。如果不包含，回答F。

1. 抱歉，我马上处理。
2. 马上的风景让人心旷神怡。
3. 他们在马上拍了一张合影。
4. 他的马要参加一场重要的比赛。
5. 他要在马上完成这幅画作。
6. 马上的骑士显得非常英姿飒爽。
7. 我们马上出发，你晚点再联系吧。
8. 老师马上到。
9. 我马上发邮件。
10. 马上完成，稍等。

请使用T或F回答，不需要解释"
43587,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[时间副词：在、正、正在]，回答T。如果不包含，回答F。

1. 你等一下儿,他正开会呢。
2. 孩子正在睡觉,你别吵醒他。
3. 我正要出门买东西。
4. 爸爸在做饭呢。
5. 他考虑是否接受这份正大公司的工作。
6. 在这个项目中，我们需要更多的正式合作。
7. 学生们正在上课吗?
8. 在这个城市里，交通非常便利。
9. 在这个团队中，每个人都发挥着重要作用。
10. 这幅画在展览馆正中心展览，吸引了许多观众。

请使用T或F回答，不需要解释"
